"Plot" "Treeno" "Species" "x" "y" "dbh" "d.end" "baf2" "AGR" "RGR" "AGR.g" "RGR.g" "year" "period" "xmax" "ymax"
"65" "BRO-A-I" 65 1 5.03259683516121 29.3881446102178 12.3 13.25 0.547249282366488 0.2375 0.0185995725134648 0.000476589423026614 0.0371991450269298 "2005" 4 25 40
"66" "BRO-A-I" 66 1 4.59665194114138 27.7465441565819 14.8 15.65 0.420693150357392 0.2125 0.0139609340540232 0.00050820169910336 0.0279218681080463 "2005" 4 25 40
"67" "BRO-A-I" 67 1 5.19632552564935 24.8818527958863 18 18.35 0.318715120465275 0.0875000000000004 0.00481445415110371 0.000249805703345603 0.00962890830220742 "2005" 4 25 40
"68" "BRO-A-I" 68 1 3.29660171328482 24.4544192493145 21.55 NA 0.206673245437581 NA NA NA NA "2005" 4 25 40
"69" "BRO-A-I" 69 1 1.98342768915996 27.9614976605228 25.9 27.7 0.0925791387044965 0.45 0.0167973611219502 0.00189438037011464 0.0335947222439003 "2005" 4 25 40
"70" "BRO-A-I" 70 1 0.570571497361479 23.8661512305737 19.95 NA 0.168548236131869 NA NA NA NA "2005" 4 25 40
"71" "BRO-A-I" 71 1 1.87100480837757 32.9557861079272 25.75 29.9 0.0636456773213711 1.0375 0.0373559633217239 0.0045346435585308 0.0747119266434478 "2005" 4 25 40
"72" "BRO-A-I" 72 1 11.2936611445962 32.5408733827449 18.3 NA 0.218715518141248 NA NA NA NA "2005" 4 25 40
"73" "BRO-A-I" 73 1 14.496736788074 32.6843879191501 18.4 19 0.339507442706495 0.15 0.00802207863787507 0.000440608369665969 0.0160441572757504 "2005" 4 25 40
"74" "BRO-A-I" 74 1 14.9529193218978 35.1741554777457 18.25 NA 0.30413844287032 NA NA NA NA "2005" 4 25 40
"75" "BRO-A-I" 75 1 15.8966153810182 32.6585436738299 21.35 22.7 0.247381964933564 0.337499999999999 0.0153282962031809 0.00116764163204594 0.0306565924063615 "2005" 4 25 40
"76" "BRO-A-I" 76 1 16.8796293541984 36.0998597779581 19.5 NA 0.249835329889328 NA NA NA NA "2005" 4 25 40
"77" "BRO-A-I" 77 1 17.5266555744597 34.2855353664224 14.5 NA 0.512035501904584 NA NA NA NA "2005" 4 25 40
"78" "BRO-A-I" 78 1 17.3909534411399 30.2277457056575 26.75 29.65 0.110466394906523 0.725 0.0257319130254298 0.00321149309013217 0.0514638260508595 "2005" 4 25 40
"79" "BRO-A-I" 79 1 20.2839017704658 32.5974197262456 16.8 19.5 0.250227685304441 0.675000000000001 0.037258894790122 0.0019244218498646 0.074517789580244 "2005" 4 25 40
"80" "BRO-A-I" 80 1 21.817152790468 34.7094287957484 15.75 16.6 0.242553214218646 0.2125 0.0131405825227139 0.000539912149950534 0.0262811650454278 "2005" 4 25 40
"81" "BRO-A-I" 81 1 19.8701885130191 35.714928722321 19.45 NA 0.194356229012834 NA NA NA NA "2005" 4 25 40
